Date,Case,Cumulative
2020-03-08,3,3
2020-03-09,0,3
2020-03-10,0,3
2020-03-11,0,3
2020-03-12,0,3
2020-03-13,0,3
2020-03-14,0,3
2020-03-15,2,5
2020-03-16,3,8
2020-03-17,2,10
2020-03-18,4,14
2020-03-19,3,17
2020-03-20,3,20
2020-03-21,4,24
2020-03-22,3,27
2020-03-23,6,33
2020-03-24,6,39
2020-03-25,0,39
2020-03-26,5,44
2020-03-27,4,48
2020-03-28,0,48
2020-03-29,0,48
2020-03-30,1,49
2020-03-31,2,51
2020-04-01,3,54
2020-04-02,2,56
2020-04-03,5,61
2020-04-04,9,70
2020-04-05,18,88
2020-04-06,35,123
2020-04-07,41,164
2020-04-08,54,218
2020-04-09,112,330
2020-04-10,94,424
2020-04-11,58,482
2020-04-12,139,621
2020-04-13,182,803
2020-04-14,209,1012
2020-04-15,219,1231
2020-04-16,341,1572
2020-04-17,266,1838
2020-04-17,266,2144
